Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Atamna,LDLC ASVEL,17,177,8,58,.138,5,38,.132,3,20,.150,.181,6,8,.750,9,12,21,20,9,2,10,21,27
Alberto Abalde,Real Madrid,36,570,63,133,.474,33,67,.493,30,66,.455,.598,12,15,.800,19,38,57,50,17,0,25,67,171
Alec Peters,Olympiacos,38,563,86,168,.512,34,88,.386,52,80,.650,.613,52,63,.825,21,74,95,35,19,1,31,66,258
Aleksa Avramović,Dubai,22,374,67,159,.421,31,92,.337,36,67,.537,.519,40,51,.784,13,30,43,65,28,3,29,37,205
Aleksa Radanov,Partizan Mozzart Bet,10,68,5,13,.385,2,7,.286,3,6,.500,.462,0,0,,3,6,9,4,1,0,5,16,12
Aleksandar Vezenkov,Olympiacos,34,965,227,418,.543,59,149,.396,168,269,.625,.614,148,166,.892,53,173,226,42,21,4,38,28,661
Aleksej Pokusevski,Partizan Mozzart Bet,27,326,41,98,.418,15,50,.300,26,48,.542,.495,3,3,1.000,11,45,56,13,11,8,12,44,100
Alen Smailagic,Virtus Olidata Bologna,31,511,81,171,.474,29,83,.349,52,88,.591,.558,38,50,.760,23,55,78,29,19,7,25,57,229
Alessandro Pajola,Virtus Olidata Bologna,24,458,31,88,.352,16,59,.271,15,29,.517,.443,18,27,.667,9,56,65,101,26,6,28,69,96
Alex Len,Real Madrid,19,137,20,37,.541,0,0,,20,37,.541,.541,17,24,.708,18,13,31,6,3,12,11,20,57
Alexandros Samodurov,Panathinaikos AKTOR,13,80,14,23,.609,4,12,.333,10,11,.909,.696,2,3,.667,2,7,9,4,1,6,3,6,34
Aliou Diarra,Virtus Olidata Bologna,28,298,55,80,.688,0,0,,55,80,.688,.688,16,29,.552,37,50,87,20,7,17,16,53,126
Allan Dokossi,Paris Basketball,34,550,76,106,.717,0,0,,76,106,.717,.717,18,44,.409,68,118,186,53,42,5,61,83,170
Alpha Diallo,AS Monaco,38,1064,170,339,.501,40,119,.336,130,220,.591,.560,74,94,.787,58,109,167,56,51,18,42,91,454
