Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
1,Valencia Basket,38,32.6,68.4,.477,11.7,31.8,.367,20.9,36.6,.572,14.0,19.4,.721,13.0,24.7,37.7,21.1,6.9,3.2,12.6,20.8,90.9
2,AS Monaco,38,31.7,65.2,.487,8.7,24.5,.356,23.0,40.7,.566,18.3,22.8,.804,10.6,23.8,34.4,21.1,6.8,2.9,10.7,21.2,90.5
3,Paris Basketball,38,31.0,68.9,.450,12.2,32.9,.370,18.9,36.1,.523,15.8,20.9,.759,13.4,23.8,37.3,17.5,7.3,3.0,13.8,22.8,90.1
4,Baskonia,38,30.8,64.5,.477,9.6,28.1,.343,21.1,36.4,.580,17.2,21.1,.815,10.3,23.1,33.4,19.0,6.1,2.7,13.1,22.1,88.3
5,Real Madrid,38,30.6,62.9,.487,9.8,25.9,.379,20.8,37.0,.562,16.9,21.3,.791,11.8,25.7,37.5,19.1,6.2,3.9,12.6,19.7,87.9
6,Olympiacos,39,30.1,61.6,.488,9.4,26.9,.350,20.6,34.7,.595,18.4,23.3,.787,11.8,24.1,35.9,21.0,6.2,2.3,12.1,18.0,87.9
7,Maccabi Rapyd Tel Aviv,39,30.2,65.7,.460,9.8,27.8,.353,20.4,37.9,.538,17.6,22.0,.800,12.6,22.3,34.9,19.4,6.6,2.3,11.9,21.1,87.8
8,Žalgiris,38,31.5,64.4,.490,9.8,24.6,.398,21.7,39.8,.546,14.8,19.7,.749,11.6,23.7,35.2,19.4,5.9,2.8,11.6,20.1,87.6
9,Crvena zvezda Meridianbet,38,31.4,65.7,.478,9.0,25.7,.350,22.4,39.9,.561,15.8,21.3,.741,13.3,24.7,38.0,20.3,6.1,2.1,13.9,21.2,87.6
10,Panathinaikos AKTOR,38,31.6,64.7,.488,8.4,23.8,.355,23.2,40.9,.566,15.6,19.5,.798,10.8,22.9,33.7,18.9,6.2,2.0,10.8,19.7,87.2
11,EA7 Emporio Armani Milano,38,30.1,62.3,.482,10.3,26.3,.392,19.7,36.0,.549,15.6,19.5,.801,10.0,23.4,33.4,18.8,5.1,2.1,11.6,20.0,86.1
12,Hapoel IBI Tel Aviv,39,31.6,61.6,.512,8.9,23.9,.373,22.7,37.7,.601,13.9,17.5,.796,8.5,23.5,32.0,17.2,5.9,2.6,11.8,19.2,86.0
13,Dubai,39,29.6,62.1,.477,8.0,23.0,.349,21.6,39.1,.552,18.6,22.9,.814,10.2,23.9,34.1,18.4,5.4,2.6,10.4,21.8,85.9
14,Barcelona,38,30.8,64.2,.479,9.6,25.7,.374,21.1,38.4,.550,13.6,17.3,.787,11.2,21.9,33.1,18.2,7.1,1.7,12.0,20.4,84.8
15,Virtus Olidata Bologna,38,29.2,62.0,.471,9.0,25.7,.351,20.2,36.3,.557,14.4,18.2,.793,10.6,23.0,33.5,19.3,6.6,2.2,13.9,20.9,81.8
16,Bayern München,38,29.5,63.4,.465,9.6,27.1,.355,19.8,36.3,.546,12.2,15.4,.793,10.3,22.8,33.1,18.6,6.7,2.0,13.0,21.7,80.8
17,Anadolu Efes,38,28.4,61.3,.464,9.2,25.8,.355,19.3,35.5,.543,14.1,17.9,.784,9.4,22.0,31.4,17.5,6.4,2.6,12.6,21.1,80.1
18,Fenerbahçe Beko,39,27.9,60.1,.465,9.2,25.4,.361,18.8,34.7,.542,14.8,18.5,.800,10.9,23.7,34.6,15.6,5.3,2.7,13.4,22.3,79.8
19,Partizan Mozzart Bet,39,29.2,62.8,.464,8.2,24.1,.341,20.9,38.7,.541,12.9,15.9,.810,10.0,22.2,32.2,17.0,6.9,2.2,12.2,20.5,79.5
20,LDLC ASVEL,38,28.1,64.4,.436,9.2,27.9,.330,18.8,36.5,.517,13.9,18.6,.751,11.6,21.8,33.4,17.6,6.7,2.6,13.0,22.5,79.3
