Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Valencia Basket,38,1239,2600,.477,444,1210,.367,795,1390,.572,532,738,.721,493,939,1432,800,263,122,480,791,3454
2,AS Monaco,38,1206,2477,.487,331,931,.356,875,1546,.566,696,866,.804,401,905,1306,803,260,112,406,805,3439
3,Olympiacos,39,1173,2402,.488,368,1050,.350,805,1352,.595,716,910,.787,459,941,1400,819,241,88,472,703,3430
4,Maccabi Rapyd Tel Aviv,39,1178,2563,.460,383,1085,.353,795,1478,.538,686,857,.800,491,871,1362,757,259,91,466,823,3425
5,Paris Basketball,38,1179,2620,.450,462,1250,.370,717,1370,.523,602,793,.759,511,905,1416,666,279,114,524,868,3422
6,Baskonia,38,1169,2452,.477,366,1068,.343,803,1384,.580,653,801,.815,393,878,1271,722,233,101,498,840,3357
7,Hapoel IBI Tel Aviv,39,1231,2403,.512,347,931,.373,884,1472,.601,544,683,.796,333,916,1249,671,230,100,461,749,3353
8,Dubai,39,1155,2422,.477,313,897,.349,842,1525,.552,726,892,.814,396,933,1329,719,212,103,406,849,3349
9,Real Madrid,38,1164,2390,.487,373,983,.379,791,1407,.562,641,810,.791,449,975,1424,724,236,148,479,748,3342
10,Žalgiris,38,1198,2446,.490,372,934,.398,826,1512,.546,562,750,.749,439,899,1338,737,225,106,440,764,3330
11,Crvena zvezda Meridianbet,38,1193,2495,.478,342,977,.350,851,1518,.561,599,808,.741,507,938,1445,770,232,81,530,804,3327
12,Panathinaikos AKTOR,38,1201,2460,.488,321,905,.355,880,1555,.566,591,741,.798,409,872,1281,717,237,77,411,747,3314
13,EA7 Emporio Armani Milano,38,1142,2367,.482,392,1000,.392,750,1367,.549,594,742,.801,381,890,1271,716,194,79,440,760,3270
14,Barcelona,38,1169,2438,.479,366,978,.374,803,1460,.550,517,657,.787,425,834,1259,692,271,63,457,774,3221
15,Fenerbahçe Beko,39,1090,2342,.465,357,990,.361,733,1352,.542,577,721,.800,426,923,1349,610,206,107,521,871,3114
16,Virtus Olidata Bologna,38,1110,2356,.471,343,978,.351,767,1378,.557,547,690,.793,401,873,1274,734,250,83,529,794,3110
17,Partizan Mozzart Bet,39,1138,2451,.464,321,941,.341,817,1510,.541,504,622,.810,391,864,1255,664,270,86,475,800,3101
18,Bayern München,38,1120,2410,.465,366,1030,.355,754,1380,.546,464,585,.793,393,865,1258,705,253,77,494,823,3070
19,Anadolu Efes,38,1081,2329,.464,348,980,.355,733,1349,.543,534,681,.784,357,836,1193,664,242,100,477,800,3044
20,LDLC ASVEL,38,1066,2446,.436,350,1060,.330,716,1386,.517,530,706,.751,440,829,1269,667,253,97,494,856,3012
